20-04 21:59:14 | api.fetch | ERROR | Error fetching live events: 503 Server Error: Service Unavailable for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 00:59:26 | api.fetch | ERROR | Error fetching live events: 502 Server Error: Bad Gateway for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 02:16:31 | model.predict | ERROR | Erro ao prever para o jogo 9847560: only length-1 arrays can be converted to Python scalars
21-04 02:16:32 | model.predict | ERROR | Erro ao prever para o jogo 9847561: only length-1 arrays can be converted to Python scalars
21-04 02:30:19 | model.predict | ERROR | Erro ao prever para o jogo 9847591: only length-1 arrays can be converted to Python scalars
21-04 02:30:26 | model.predict | ERROR | Erro ao prever para o jogo 9847590: only length-1 arrays can be converted to Python scalars
21-04 02:43:45 | model.predict | ERROR | Erro ao prever para o jogo 9847593: only length-1 arrays can be converted to Python scalars
21-04 02:43:58 | model.predict | ERROR | Erro ao prever para o jogo 9847592: only length-1 arrays can be converted to Python scalars
21-04 02:53:42 | model.predict | ERROR | Erro ao prever para o jogo 9847612: only length-1 arrays can be converted to Python scalars
21-04 02:53:45 | model.predict | ERROR | Erro ao prever para o jogo 9847613: only length-1 arrays can be converted to Python scalars
21-04 03:06:08 | model.predict | ERROR | Erro ao prever para o jogo 9847617: only length-1 arrays can be converted to Python scalars
21-04 03:06:12 | model.predict | ERROR | Erro ao prever para o jogo 9847616: only length-1 arrays can be converted to Python scalars
21-04 03:18:50 | model.predict | ERROR | Erro ao prever para o jogo 9847702: only length-1 arrays can be converted to Python scalars
21-04 03:18:56 | model.predict | ERROR | Erro ao prever para o jogo 9847701: only length-1 arrays can be converted to Python scalars
21-04 03:30:08 | model.predict | ERROR | Erro ao prever para o jogo 9847712: only length-1 arrays can be converted to Python scalars
21-04 03:41:52 | model.predict | ERROR | Erro ao prever para o jogo 9847755: only length-1 arrays can be converted to Python scalars
21-04 03:53:54 | model.predict | ERROR | Erro ao prever para o jogo 9847803: only length-1 arrays can be converted to Python scalars
21-04 04:06:57 | model.predict | ERROR | Erro ao prever para o jogo 9847804: only length-1 arrays can be converted to Python scalars
21-04 04:28:16 | model.predict | ERROR | Erro ao prever para o jogo 9847897: only length-1 arrays can be converted to Python scalars
21-04 04:28:26 | model.predict | ERROR | Erro ao prever para o jogo 9847896: only length-1 arrays can be converted to Python scalars
21-04 04:40:22 | model.predict | ERROR | Erro ao prever para o jogo 9847906: only length-1 arrays can be converted to Python scalars
21-04 04:40:29 | model.predict | ERROR | Erro ao prever para o jogo 9847903: only length-1 arrays can be converted to Python scalars
21-04 04:52:37 | model.predict | ERROR | Erro ao prever para o jogo 9847948: only length-1 arrays can be converted to Python scalars
21-04 04:52:39 | model.predict | ERROR | Erro ao prever para o jogo 9847949: only length-1 arrays can be converted to Python scalars
21-04 05:28:08 | model.predict | ERROR | Erro ao prever para o jogo 9848047: only length-1 arrays can be converted to Python scalars
21-04 05:28:16 | model.predict | ERROR | Erro ao prever para o jogo 9848046: only length-1 arrays can be converted to Python scalars
21-04 05:40:44 | model.predict | ERROR | Erro ao prever para o jogo 9848048: only length-1 arrays can be converted to Python scalars
21-04 05:40:45 | model.predict | ERROR | Erro ao prever para o jogo 9848049: only length-1 arrays can be converted to Python scalars
21-04 05:52:17 | model.predict | ERROR | Erro ao prever para o jogo 9848292: only length-1 arrays can be converted to Python scalars
21-04 05:52:18 | model.predict | ERROR | Erro ao prever para o jogo 9848229: only length-1 arrays can be converted to Python scalars
21-04 06:04:28 | model.predict | ERROR | Erro ao prever para o jogo 9848310: only length-1 arrays can be converted to Python scalars
21-04 06:04:38 | model.predict | ERROR | Erro ao prever para o jogo 9848306: only length-1 arrays can be converted to Python scalars
21-04 06:16:07 | model.predict | ERROR | Erro ao prever para o jogo 9848324: only length-1 arrays can be converted to Python scalars
21-04 06:16:24 | model.predict | ERROR | Erro ao prever para o jogo 9848325: only length-1 arrays can be converted to Python scalars
21-04 06:48:42 | model.predict | ERROR | Erro ao prever para o jogo 9848500: only length-1 arrays can be converted to Python scalars
21-04 06:48:49 | model.predict | ERROR | Erro ao prever para o jogo 9848501: only length-1 arrays can be converted to Python scalars
21-04 07:00:37 | model.predict | ERROR | Erro ao prever para o jogo 9848515: only length-1 arrays can be converted to Python scalars
21-04 07:00:40 | model.predict | ERROR | Erro ao prever para o jogo 9848502: only length-1 arrays can be converted to Python scalars
21-04 07:12:23 | model.predict | ERROR | Erro ao prever para o jogo 9848516: only length-1 arrays can be converted to Python scalars
21-04 07:12:32 | model.predict | ERROR | Erro ao prever para o jogo 9848517: only length-1 arrays can be converted to Python scalars
21-04 07:24:58 | model.predict | ERROR | Erro ao prever para o jogo 9848565: only length-1 arrays can be converted to Python scalars
21-04 07:25:02 | model.predict | ERROR | Erro ao prever para o jogo 9848590: only length-1 arrays can be converted to Python scalars
21-04 07:48:15 | model.predict | ERROR | Erro ao prever para o jogo 9848729: only length-1 arrays can be converted to Python scalars
21-04 07:48:44 | model.predict | ERROR | Erro ao prever para o jogo 9848730: only length-1 arrays can be converted to Python scalars
21-04 08:00:09 | model.predict | ERROR | Erro ao prever para o jogo 9848734: only length-1 arrays can be converted to Python scalars
21-04 08:00:13 | model.predict | ERROR | Erro ao prever para o jogo 9848731: only length-1 arrays can be converted to Python scalars
21-04 08:24:58 | model.predict | ERROR | Erro ao prever para o jogo 9848949: only length-1 arrays can be converted to Python scalars
21-04 08:36:22 | model.predict | ERROR | Erro ao prever para o jogo 9848964: only length-1 arrays can be converted to Python scalars
21-04 08:36:26 | model.predict | ERROR | Erro ao prever para o jogo 9848950: only length-1 arrays can be converted to Python scalars
