Unnamed: 0,event_id,date,away_team,away_player,away_score,home_team,home_player,home_score,total_score,league,home_str,away_str,players,odd_over,odd_under,handicap,prob_over,prob_under,ev_over,ev_under,bet_type,bet_odd,bet_prob,bet_ev,hot_ev,minimum_line,minimum_odd,time_sent,lambda_pred,ended,raw_score,profit,result,canceled,sent,message_id,chat_id,edited,result_emoji,time_range,saved_on_excel,month,totally_processed,league_id
0.0,9595262,2025-03-01 00:00:00,Arsenal,DANTE,1.0,Aston Villa,FAITH,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,9595407,2025-03-01 00:40:00,Spain,EMPEROR,1.0,Portugal,FORCE,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,9595408,2025-03-01 00:55:00,Tottenham,ROC,0.0,Newcastle,FORCE,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,9595717,2025-03-01 00:57:37,Liverpool,FAITH,0.0,Barcelona,DANTE,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,9595655,2025-03-01 01:10:00,Aston Villa,EMPEROR,4.0,Tottenham,ROC,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,9595657,2025-03-01 01:15:00,A.Madrid,ENT,1.0,Liverpool,FAITH,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9595656,2025-03-01 01:25:00,Newcastle,FORCE,2.0,Aston Villa,EMPEROR,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,9595669,2025-03-01 01:40:00,Tottenham,ROC,0.0,Newcastle,FORCE,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,9595769,2025-03-01 01:41:31,Liverpool,FAITH,1.0,Barcelona,DANTE,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,9595744,2025-03-01 01:55:00,Aston Villa,EMPEROR,1.0,Tottenham,ROC,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,9595745,2025-03-01 02:00:00,A.Madrid,ENT,1.0,Liverpool,FAITH,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,9595746,2025-03-01 02:10:00,Newcastle,FORCE,2.0,Aston Villa,EMPEROR,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,9595747,2025-03-01 02:25:00,Newcastle,FORCE,1.0,Tottenham,ROC,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,9595409,2025-03-01 02:30:00,Barcelona,DANTE,0.0,Liverpool,FAITH,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,9595792,2025-03-01 02:40:00,Tottenham,ROC,1.0,Aston Villa,EMPEROR,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,9596052,2025-03-01 02:44:16,Liverpool,FAITH,2.0,A.Madrid,ENT,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,9596051,2025-03-01 02:52:52,Aston Villa,EMPEROR,1.0,Newcastle,FORCE,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,9595990,2025-03-01 03:10:00,Tottenham,ROC,1.0,Newcastle,FORCE,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,9595991,2025-03-01 03:15:00,Liverpool,FAITH,0.0,Barcelona,DANTE,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,9595989,2025-03-01 03:25:00,Tottenham,ROC,0.0,Aston Villa,EMPEROR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,9595946,2025-03-01 03:28:31,Liverpool,FAITH,2.0,A.Madrid,ENT,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,9595945,2025-03-01 03:40:00,Newcastle,FORCE,2.0,Aston Villa,EMPEROR,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,9596043,2025-03-01 03:55:00,Liverpool,FORCE,1.0,Napoli,ROC,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,9596044,2025-03-01 04:00:00,PSG,DANTE,1.0,Real Madrid,FAITH,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,9596095,2025-03-01 04:40:00,Liverpool,FORCE,0.0,Barcelona,EMPEROR,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,9596096,2025-03-01 04:55:00,Napoli,ROC,1.0,Liverpool,FORCE,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,9596159,2025-03-01 05:00:00,Real Madrid,FAITH,0.0,PSG,DANTE,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,9596162,2025-03-01 05:10:00,Napoli,ROC,2.0,Barcelona,EMPEROR,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,9596264,2025-03-01 05:13:35,Real Madrid,FAITH,0.0,Man City,ENT,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,9596263,2025-03-01 05:23:30,Liverpool,FORCE,0.0,Barcelona,EMPEROR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,9596199,2025-03-01 05:40:00,Liverpool,FORCE,1.0,Napoli,ROC,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,9596217,2025-03-01 05:45:00,PSG,DANTE,2.0,Real Madrid,FAITH,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,9596338,2025-03-01 05:53:21,Barcelona,EMPEROR,2.0,Napoli,ROC,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,9596339,2025-03-01 05:56:46,Man City,ENT,2.0,Real Madrid,FAITH,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,9596168,2025-03-01 06:10:00,Barcelona,EMPEROR,1.0,Liverpool,FORCE,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,9596275,2025-03-01 06:25:00,Liverpool,FORCE,1.0,Napoli,ROC,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,9596276,2025-03-01 06:30:00,PSG,DANTE,1.0,Real Madrid,FAITH,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,9596247,2025-03-01 06:36:43,Barcelona,EMPEROR,0.0,Napoli,ROC,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,9596169,2025-03-01 06:42:23,Man City,ENT,1.0,Real Madrid,FAITH,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,9596341,2025-03-01 06:55:00,Bayern,GUARDIAN,,PSG,VAPOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,9596340,2025-03-01 07:00:00,France,TUSK,0.0,Spain,MAGICIAN,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,9596372,2025-03-01 07:15:00,England,FAME,2.0,Portugal,VENOM,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,9596373,2025-03-01 07:30:00,Portugal,VENOM,1.0,France,TUSK,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,9596417,2025-03-01 07:45:00,Spain,MAGICIAN,2.0,England,FAME,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,9596418,2025-03-01 08:00:00,Portugal,VENOM,2.0,Spain,MAGICIAN,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,9596558,2025-03-01 08:15:00,England,FAME,3.0,France,TUSK,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,9596559,2025-03-01 08:25:00,Man City,BUTCHER,1.0,Bayern,GUARDIAN,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,9596584,2025-03-01 08:30:00,Spain,MAGICIAN,3.0,France,TUSK,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,9596585,2025-03-01 08:45:00,Portugal,VENOM,0.0,England,FAME,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,9596650,2025-03-01 09:00:00,France,TUSK,0.0,Portugal,VENOM,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,9596766,2025-03-01 09:10:00,Man City,BUTCHER,0.0,Bayern,GUARDIAN,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,9596696,2025-03-01 09:15:00,England,FAME,0.0,Spain,MAGICIAN,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,9596697,2025-03-01 09:30:00,Spain,MAGICIAN,0.0,Portugal,VENOM,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,9596810,2025-03-01 09:45:00,France,TUSK,1.0,England,FAME,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,9596865,2025-03-01 09:55:00,Portugal,GUARDIAN,3.0,France,BUTCHER,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,9596862,2025-03-01 10:00:00,Aston Villa,VENOM,0.0,Arsenal,FAME,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,9596863,2025-03-01 10:15:00,Tottenham,MAGICIAN,0.0,Newcastle,TUSK,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,9596864,2025-03-01 10:30:00,Newcastle,TUSK,1.0,Aston Villa,VENOM,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,9597057,2025-03-01 10:40:00,France,BUTCHER,1.0,Portugal,GUARDIAN,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,9596940,2025-03-01 10:45:00,Arsenal,FAME,0.0,Tottenham,MAGICIAN,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,9596979,2025-03-01 11:00:00,Newcastle,TUSK,1.0,Arsenal,FAME,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,9596980,2025-03-01 11:15:00,Tottenham,MAGICIAN,2.0,Aston Villa,VENOM,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,9597154,2025-03-01 11:25:00,France,BUTCHER,2.0,Portugal,GUARDIAN,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,9597157,2025-03-01 11:30:00,Arsenal,FAME,1.0,Aston Villa,VENOM,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,9597161,2025-03-01 11:45:00,Newcastle,TUSK,1.0,Tottenham,MAGICIAN,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,9597162,2025-03-01 12:00:00,Aston Villa,VENOM,4.0,Newcastle,TUSK,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,9597238,2025-03-01 12:15:00,Tottenham,MAGICIAN,1.0,Arsenal,FAME,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,9597239,2025-03-01 12:30:00,Arsenal,FAME,1.0,Newcastle,TUSK,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,9597240,2025-03-01 12:45:00,Aston Villa,VENOM,1.0,Tottenham,MAGICIAN,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
