event_id,date,away_team,away_player,away_score,home_team,home_player,home_score,total_score,league,home_str,away_str,players,odd_over,odd_under,handicap,prob_over,prob_under,ev_over,ev_under,bet_type,bet_odd,bet_prob,bet_ev,hot_ev,minimum_line,minimum_odd,time_sent,lambda_pred,ended,raw_score,profit,result,canceled,sent,message_id,chat_id,edited,result_emoji,time_interval,saved_on_excel,month,totally_processed,time_range
9789627,2025-04-09 11:38:00,Man City,sane4ek8,5.0,PSG,Flewless_phoenix,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790071,2025-04-09 11:14:00,PSG,Flewless_phoenix,2.0,Real Madrid,FEARGGWP,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790070,2025-04-09 11:14:00,Man City,sane4ek8,2.0,Boca Juniors,labotryas,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789984,2025-04-09 11:06:00,Portugal,Jekunam,1.0,Mexico,Arcos,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789983,2025-04-09 11:06:00,Netherlands,Bomb1to,3.0,Sweden,Wboy,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789998,2025-04-09 11:02:00,River Plate,MeLToSik,2.0,Man City,sane4ek8,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789512,2025-04-09 11:02:00,Boca Juniors,labotryas,4.0,PSG,Flewless_phoenix,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789982,2025-04-09 10:54:00,Croatia,dm1trena,2.0,Netherlands,Bomb1to,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789981,2025-04-09 10:54:00,Sweden,Wboy,0.0,Portugal,Jekunam,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789960,2025-04-09 10:50:00,Real Madrid,FEARGGWP,1.0,Boca Juniors,labotryas,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789959,2025-04-09 10:50:00,PSG,Flewless_phoenix,2.0,River Plate,MeLToSik,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789924,2025-04-09 10:42:00,Portugal,Jekunam,4.0,Croatia,dm1trena,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789925,2025-04-09 10:42:00,Mexico,Arcos,1.0,Sweden,Wboy,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789626,2025-04-09 10:38:00,Real Madrid,FEARGGWP,2.0,River Plate,MeLToSik,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789632,2025-04-09 10:30:00,Croatia,dm1trena,3.0,Mexico,Arcos,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789633,2025-04-09 10:30:00,Netherlands,Bomb1to,4.0,Portugal,Jekunam,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789618,2025-04-09 10:26:00,River Plate,MeLToSik,1.0,Boca Juniors,labotryas,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789625,2025-04-09 10:26:00,Man City,sane4ek8,0.0,Real Madrid,FEARGGWP,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789528,2025-04-09 10:18:00,Croatia,dm1trena,3.0,Sweden,Wboy,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789527,2025-04-09 10:18:00,Netherlands,Bomb1to,3.0,Mexico,Arcos,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789515,2025-04-09 10:14:00,Real Madrid,FEARGGWP,3.0,PSG,Flewless_phoenix,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789514,2025-04-09 10:14:00,Boca Juniors,labotryas,2.0,Man City,sane4ek8,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789509,2025-04-09 10:06:00,Mexico,Arcos,2.0,Portugal,Jekunam,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789508,2025-04-09 10:06:00,Sweden,Wboy,5.0,Netherlands,Bomb1to,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790059,2025-04-09 10:02:14,PSG,Flewless_phoenix,4.0,Boca Juniors,labotryas,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789513,2025-04-09 10:02:00,Man City,sane4ek8,2.0,River Plate,MeLToSik,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789478,2025-04-09 09:54:00,Netherlands,Bomb1to,2.0,Croatia,dm1trena,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789507,2025-04-09 09:54:00,Portugal,Jekunam,0.0,Sweden,Wboy,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789511,2025-04-09 09:50:00,Boca Juniors,labotryas,1.0,Real Madrid,FEARGGWP,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789510,2025-04-09 09:50:00,River Plate,MeLToSik,2.0,PSG,Flewless_phoenix,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789460,2025-04-09 09:42:00,Sweden,Wboy,4.0,Mexico,Arcos,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789459,2025-04-09 09:42:00,Croatia,dm1trena,4.0,Portugal,Jekunam,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789458,2025-04-09 09:30:00,Portugal,Jekunam,6.0,Netherlands,Bomb1to,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789457,2025-04-09 09:30:00,Mexico,Arcos,2.0,Croatia,dm1trena,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9788988,2025-04-09 09:18:00,Pohang Steelers,MeLToSik,1.0,Al Hilal,FEARGGWP,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9788989,2025-04-09 09:18:00,Gangwon FC,sane4ek8,0.0,Al Ain FC,Flewless_phoenix,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789389,2025-04-09 09:06:00,Al Hilal,FEARGGWP,0.0,Gangwon FC,sane4ek8,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789390,2025-04-09 09:06:00,Al Nassr,labotryas,1.0,Pohang Steelers,MeLToSik,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789373,2025-04-09 08:58:00,Napoli,Arcos,2.0,Fiorentina,Bomb1to,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789388,2025-04-09 08:58:00,Roma,Wboy,2.0,Bologna,dm1trena,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789335,2025-04-09 08:54:00,Al Ain FC,Flewless_phoenix,1.0,Al Hilal,FEARGGWP,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789334,2025-04-09 08:54:00,Gangwon FC,sane4ek8,2.0,Al Nassr,labotryas,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789333,2025-04-09 08:46:18,Juventus,Jekunam,3.0,Napoli,Arcos,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789332,2025-04-09 08:46:18,Fiorentina,Bomb1to,2.0,Roma,Wboy,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789296,2025-04-09 08:42:00,Pohang Steelers,MeLToSik,6.0,Gangwon FC,sane4ek8,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789295,2025-04-09 08:42:00,Al Nassr,labotryas,3.0,Al Ain FC,Flewless_phoenix,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
